label,text
A,"Alley, Approach, Arcade, Avenue"
A,Area
A,Telephone Call Box (AA) (small scales)
AA,AA call box
A/D,Asphalt Disc
AA,Automobile Association
AAT,Analytical Aerial Triangulation
Aber,Aberdeenshire
ABUT,Abutment
Acad,Academy
Ad Co,Administrative County
Adj,Adjacent
ADMin Co,Administrative County
AGL,Above Ground Level
AL,Alley
ALB,Air Light Beacon
Allot Gdns,Allotment Gardens
Alt,Altitude
Alts,Alterations
Amb Sta,Ambulance Station
AND,Administrative Names Diagram
ANG,Angle
Angle,Anglesey
Angus,Angus
AOD,Above Ordnance Datum
AP,Air Point
AP,Approach
APP,Approach
APPROX,Approximately
Apr,April
AR,Arcade
ARC,Arcade
Argyll,Argyllshire
Aug,August
AUX,Auxiliary
Av or Ave,Avenue
Avon,Avon
Ayr,Ayrshire
B,"Baulk, Bank, Base, Basin, Bridge, Broad"
B,Boiler
B,"Boulevard, Broadway, Brow"
B,Break in dual carriageway
B,Break in house numbers
B Md,Boundary Mound
B Mk,Boundary Mark
B Rod,Brass Rod
B-P,By-pass
Banff,Banffshire
Bapt,Baptist
BATT,Battlement
Battery,Bty
BB,Base of Bank
BB,Buried Block
BC,Borough Constituency
BC,Burgh Constituency
BD,Boulevard
Bdy,Boundary
BDY,Broadway
Bdy M,Boundary Mark or Mound
Beds,Bedfordshire
Berks,Berkshire
Berwick,Berwickshire
BG,Burial Ground
BH,Beer House
Bk,Bank
BK,Bank (building)
BK H,Bake House
Bks,Barracks
BLDG(S),Building(s)
Bldgs,Buildings
Blg,Building
BM,Bench Mark
BN,Barn
Bn,Broken (hedge or bank)
Bo,Boulder
BO H,?Boiler House
Bol,Bollard
Boro,Borough
Boro Const,Borough Constituency
BP,Boundary Post or Plate
BR,Brass Rivet
Br,Bridge
BR,Bridge
BR,Bridle Road
BR,Brow
BR H,Brew House
Br P,Braced Post
Brac/RG,Bracken and Rough grassland
Breck,Brecknockshire
BS,Boundary Stone
Bucks,Buckinghamshire
Burgh Const,Burgh Constituency
Burial Gd,Burial Ground
Bus,Omnibus
Bute,Buteshire
BUTT,Buttress
BVD,Boulevard
BY,Broadway
BY-PS,By-pass
(C),Close (Boulders)
C,"Cam, Canal, Causeway, Centre of, Channel, Cliff, Conduit, Cop, Course of, Covered, Culvert, Cut"
C,"Carriage, Creek, Cross"
C,"Causeway, Chase, Circle, Circus, Close, Corner, Court, Crescent, Croft, Cross, Cut"
C,Cock
C,Community (Wales)
C,Coniferous
C,Crane
C in W,Church in Wales
C of E,Church of England
C of S,Church of Scotland
Caern,Caernarvonshire
Caithness,Caithness
Calv,Calvinist
Cambs,Cambridgeshire
Car Pk,Car Park
Card,Cardiganshire
Carm,Carmarthenshire
Cas,Castle
CAS,Castle
CATH,Cathederal
Cath,Cathedral
Cathl,Cathedral
CB,"Centre of Bank, Basin, Baulk, Broad"
CB,Coal Bin
CB,County Borough
CC,Centre of Canal
CC,Chisel Cut (Mark)
CC,Coal Cover?
CC,County Constituency
CC,County Council
CCLW,Centre of Channel at Low Water
CCS,Centre of Covered Stream
CD,Centre Drain
CD,Centre of Drain
CDK,Centre Drain at Kerb
CDS,Cul de sac (Station)
Cemy,Cemetery
Cen,"Centre (Social, etc)"
CF,Croft
CFT,Croft
CG,Cattle Grid
CG Lookout,Coastguard Lookout
CG Sta,Coastguard Station
CH,Chase
Ch,Church
CH,Club House
CH,Coach House
CH,Coach House
CH,Coal House
Ch Yd,Church Yard
CHA,Chase
Chap,Chapel
Ches,Cheshire
Chr Sc Ch,Christian Science Church; Church of Christ Scientist
Chy,Chimney
Cin,Cinema
CIR,"Circle, Circus"
CIRC,"Circle, Circus"
Cis,Cistern
CL,Close
CL,Close [density]
Cl,Close [place]
Clackmannan,Clackmannanshire
CB,Coal Bin
Cleve,Cleveland
Cl H,Coal House
CLUB HO,Club House
Clwyd,Clwyd
CM,Chalk/Crayon Mark
Cn,Capstan
CN,Cistern
Cnl,Council (not in conjunction with county)
CNR,Corner
Cnr,Corner
Co Cnl,County Council
Co Const,County Constituency
Co of City,County of City
Co-ed,Co-educational
Co-ord(s),Co-ordinate(s)
COCS,Centre of old course of stream
CoH,Cow House
Col,Collects
Coll,College
Colly,Colliery
Comm Centre,Community Centre
Comps,Computations
Conc,Concrete
Congl,Congregational
Conv Home,Convalescent Home
Cop,Coppice
Corn,Cornwall
Corpn,Corporation
Corpn Yd,Corporation Yard
Cott,Cottage
CP,Centre Punched (Mark)
CP,Cess Pool
CP,Civil Parish
CPA,Comparator Point (Air)
CPG,Comparator Point (Ground)
Cr,Centre [of stone marking triangulation point]
CR,"Centre of Railway, River, Road"
CR,Continuous Revison
Cr,Crescent
CR,Crescent
cr,Crosses
Crem,Crematorium
Cres,Crescent
CRES,Crescent
CRT,?
CS,Centre of Stream
CS,Cess Pool
CS,Cross
Cse,Course
CSWY,Causeway
CT,Cart Track
Ct,Court
CT,Court
CT H,Cart House
CT S,Cart Shed
CU,Classification unchanged
CU,Cut
Cul,Culvert
Cumb,Cumberland
Cumbr,Cumbria
Cvt,Convent
CW,Causeway
CW,Centre of Wall
D,"Dale, Drive, Drove"
D,"Dam, Ditch, Dock, Double, Down, Drain"
D Fn,Drinking Fountain
D Slip,Double slip (railway)
D Well,Draw Well
D/G,Downgrade
DB,Dust Bin
DD,Double Ditch or Drain
Dec,December
Def,Defaced
Denb,Denbighshire
Dept,Department
Derby,Derbyshire
Det,Detached
Det Ring,Detector Ring
Devon,Devon
DF,Double Fence
DF,Drain Frame
DF,Drinking Fountain
DG,Double Gate (level crossing)
